time,f0,frame,rms
2.721088472753763199e-03,2.912496643066406250e+02,6.000000000000000000e+01,1.810491085052490234e-06
2.766439924016594887e-03,2.912496643066406250e+02,6.100000000000000000e+01,2.998858690261840820e-06
2.811791375279426575e-03,2.912496643066406250e+02,6.200000000000000000e+01,5.494803190231323242e-06
2.857142826542258263e-03,2.912496643066406250e+02,6.300000000000000000e+01,6.698071956634521484e-06
2.902494277805089951e-03,2.912496643066406250e+02,6.400000000000000000e+01,8.154660463333129883e-06
2.947845729067921638e-03,2.912496643066406250e+02,6.500000000000000000e+01,6.083399057388305664e-06
2.993197180330753326e-03,2.912496643066406250e+02,6.600000000000000000e+01,3.352761268615722656e-06
3.038548864424228668e-03,2.912496643066406250e+02,6.700000000000000000e+01,3.725290298461914062e-09
3.083900315687060356e-03,2.912496643066406250e+02,6.800000000000000000e+01,2.041459083557128906e-06
3.129251766949892044e-03,2.912496643066406250e+02,6.900000000000000000e+01,2.380460500717163086e-06
3.174603218212723732e-03,2.912496643066406250e+02,7.000000000000000000e+01,3.971159458160400391e-06
3.219954669475555420e-03,2.912496643066406250e+02,7.100000000000000000e+01,6.273388862609863281e-06
3.265306120738387108e-03,2.912496643066406250e+02,7.200000000000000000e+01,1.007318496704101562e-05
3.310657572001218796e-03,2.912496643066406250e+02,7.300000000000000000e+01,1.135468482971191406e-05
3.356009023264050484e-03,2.912496643066406250e+02,7.400000000000000000e+01,1.034885644912719727e-05
3.401360474526882172e-03,2.912496643066406250e+02,7.500000000000000000e+01,5.289912223815917969e-06
3.446711925789713860e-03,2.912496643066406250e+02,7.600000000000000000e+01,2.719461917877197266e-06
3.492063377052545547e-03,2.912496643066406250e+02,7.700000000000000000e+01,8.195638656616210938e-08
3.537415061146020889e-03,2.912496643066406250e+02,7.800000000000000000e+01,1.333653926849365234e-06
3.582766512408852577e-03,2.912496643066406250e+02,7.900000000000000000e+01,2.764165401458740234e-06
3.628117963671684265e-03,2.912496643066406250e+02,8.000000000000000000e+01,4.064291715621948242e-06
3.673469414934515953e-03,2.912496643066406250e+02,8.100000000000000000e+01,5.312263965606689453e-06
3.718820866197347641e-03,2.912496643066406250e+02,8.200000000000000000e+01,5.058944225311279297e-06
3.764172317460179329e-03,2.912496643066406250e+02,8.300000000000000000e+01,2.495944499969482422e-06
3.809523768723011017e-03,2.912496643066406250e+02,8.400000000000000000e+01,2.980232238769531250e-06
3.854875219985842705e-03,2.912496643066406250e+02,8.500000000000000000e+01,7.703900337219238281e-06
3.900226671248674393e-03,2.912496643066406250e+02,8.600000000000000000e+01,5.990266799926757812e-06
3.945578355342149734e-03,2.912496643066406250e+02,8.700000000000000000e+01,1.717358827590942383e-06
3.990929573774337769e-03,2.912496643066406250e+02,8.800000000000000000e+01,2.756714820861816406e-06
4.036281257867813110e-03,2.912496643066406250e+02,8.900000000000000000e+01,1.285225152969360352e-06
4.081632476300001144e-03,2.912496643066406250e+02,9.000000000000000000e+01,2.637505531311035156e-06
4.126984160393476486e-03,2.912496643066406250e+02,9.100000000000000000e+01,6.645917892456054688e-06
4.172335378825664520e-03,2.912496643066406250e+02,9.200000000000000000e+01,8.683651685714721680e-06
4.217687062919139862e-03,2.912496643066406250e+02,9.300000000000000000e+01,1.248717308044433594e-05
4.263038747012615204e-03,2.912496643066406250e+02,9.400000000000000000e+01,1.704692840576171875e-05
4.308389965444803238e-03,2.912496643066406250e+02,9.500000000000000000e+01,1.855567097663879395e-05
4.353741649538278580e-03,2.912496643066406250e+02,9.600000000000000000e+01,1.848861575126647949e-05
4.399092867970466614e-03,2.912496643066406250e+02,9.700000000000000000e+01,1.919269561767578125e-05
4.444444552063941956e-03,2.912496643066406250e+02,9.800000000000000000e+01,1.530349254608154297e-05
4.489795770496129990e-03,2.912496643066406250e+02,9.900000000000000000e+01,1.348927617073059082e-05
4.535147454589605331e-03,2.912496643066406250e+02,1.000000000000000000e+02,1.353397965431213379e-05
4.580498673021793365e-03,2.912496643066406250e+02,1.010000000000000000e+02,1.124665141105651855e-05
4.625850357115268707e-03,2.912496643066406250e+02,1.020000000000000000e+02,1.087784767150878906e-05
4.671202041208744049e-03,2.912496643066406250e+02,1.030000000000000000e+02,6.981194019317626953e-06
4.716553259640932083e-03,2.912496643066406250e+02,1.040000000000000000e+02,1.203641295433044434e-05
4.761904943734407425e-03,2.912496643066406250e+02,1.050000000000000000e+02,1.657009124755859375e-05
4.807256162166595459e-03,2.912496643066406250e+02,1.060000000000000000e+02,9.886920452117919922e-06
4.852607846260070801e-03,2.912496643066406250e+02,1.070000000000000000e+02,4.336237907409667969e-06
4.897959064692258835e-03,2.912496643066406250e+02,1.080000000000000000e+02,3.505498170852661133e-06
4.943310748785734177e-03,2.912496643066406250e+02,1.090000000000000000e+02,2.205371856689453125e-06
4.988661967217922211e-03,2.912496643066406250e+02,1.100000000000000000e+02,3.241002559661865234e-06
5.034013651311397552e-03,2.912496643066406250e+02,1.110000000000000000e+02,3.080815076828002930e-06
5.079364869743585587e-03,2.912496643066406250e+02,1.120000000000000000e+02,7.979571819305419922e-06
5.124716553837060928e-03,2.912496643066406250e+02,1.130000000000000000e+02,1.620501279830932617e-06
